mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.007266044616699219,0.0009570054052595185,0.004254976908365886,0.0005696881888815131,1,{'max_depth': 1},-0.2909747292418773,-0.2815884476534296,-0.3013005780346821,-0.29128791830999634,0.008050490112871643,3
0.012610117594401041,0.0023953396115928673,0.0073862870534261065,0.0008403477696703014,2,{'max_depth': 2},-0.2909747292418773,-0.2815884476534296,-0.3013005780346821,-0.29128791830999634,0.008050490112871643,3
0.006546179453531901,0.00030281702153474316,0.005661884943644206,0.0016125492646190446,3,{'max_depth': 3},-0.2909747292418773,-0.2815884476534296,-0.26083815028901736,-0.27780044239477475,0.012591401447686104,1
0.007341543833414714,0.002509379064621371,0.0036570231119791665,9.237119235212667e-05,4,{'max_depth': 4},-0.2909747292418773,-0.2815884476534296,-0.26083815028901736,-0.27780044239477475,0.012591401447686104,1
